location,latitude,longitude,confirmed,dead,recovered,updated
"Chester County, Tennessee",35.4270939,-88.6723578,6,0,None,2020-04-19 01:40:27.495960+00:00
"Pike County, Pennsylvania",41.3361875,-75.0611147,295,8,0,2020-04-18 01:41:02.433592+00:00
"Lake County, Tennessee",36.3270676,-89.4931176,4,0,None,2020-04-19 01:40:27.495960+00:00
Serrinha,-11.6629856,-39.0083901,4,0,None,2020-04-19 01:22:28.118622+00:00
Lianyungang,34.596653,119.221611,48,0,48,2020-04-19 01:22:33.698233+00:00
"Kewaunee County, Wisconsin",44.5202599,-87.3810727,8,1,None,2020-04-19 01:40:27.495960+00:00
Geertruidenberg,51.7023659,4.8499781,9,None,None,2020-04-19 01:41:38.859115+00:00
Veendam,53.1062782,6.8750998,2,None,None,2020-04-19 01:41:41.100303+00:00
Voorschoten,52.1237896,4.4385976,9,None,None,2020-04-19 01:41:41.230855+00:00
Toscana,43.76923077,11.25588885,8237,618,1149,2020-04-19 01:41:41.916836+00:00
"Hansford County, Texas",36.3183749,-101.4339148,1,0,None,2020-04-19 01:40:27.495960+00:00
Valle d'Aosta,45.73750286,7.320149366,1073,124,400,2020-04-19 01:41:41.951152+00:00
Gers,43.6366479,0.4502368,76,11,23,2020-04-19 01:41:44.198857+00:00
Aube,48.1563418,4.3732462,584,74,244,2020-04-19 01:41:44.219432+00:00
Cantal,45.1191997,2.6326062,42,0,20,2020-04-19 01:41:44.232187+00:00
Divinópolis,-20.103444,-44.9716724,36,1,None,2020-04-19 01:22:18.864392+00:00
Brodowski,-20.999525,-47.6580812,4,0,None,2020-04-19 01:22:16.710237+00:00
Coronel Fabriciano,-19.5190218,-42.6282537,6,0,None,2020-04-19 01:22:18.556551+00:00
Glória do Goitá,-7.9995755,-35.2947008,2,0,None,2020-04-19 01:22:19.612818+00:00
Januário Cicco,-6.1583665,-35.6020276,1,0,None,2020-04-19 01:22:22.907369+00:00
Osório,-29.8922142,-50.261996,2,0,None,2020-04-19 01:22:25.092464+00:00
Serra do Salitre,-19.110579,-46.6793595,1,0,None,2020-04-19 01:22:28.084392+00:00
São José do Divino,-18.4802473,-41.3884078,3,1,None,2020-04-19 01:22:28.742828+00:00
São José,-23.223701,-45.9009074,35,1,None,2020-04-19 01:22:28.834533+00:00
Dali,25.606486,100.267638,13,0,13,2020-04-19 01:22:33.698233+00:00
Red River State,22.5288983,103.9197648,9,0,9,2020-04-19 01:22:33.698233+00:00
Baoshan,25.112046,99.161761,9,0,9,2020-04-19 01:22:33.698233+00:00
"Coos County, Oregon",43.242897,-124.105737,1,0,None,2020-04-19 01:40:27.495960+00:00
"Edgefield County, South Carolina",33.8015886,-81.9534815,11,0,0,2020-04-18 01:41:02.433592+00:00
"Chesterfield County, South Carolina",34.6830936,-80.1428584,35,0,0,2020-04-18 01:41:02.433592+00:00
"Charles Mix County, South Dakota",43.0985109,-98.3964938,4,0,None,2020-04-19 01:40:27.495960+00:00
"Hyde County, South Dakota",44.5334083,-99.456155,1,0,None,2020-04-19 01:40:27.495960+00:00
Lhasa,29.654838,91.140552,1,0,1,2020-04-19 01:22:33.698233+00:00
"Juneau County, Wisconsin",43.8672979,-90.0746767,10,1,0,2020-04-18 01:41:02.433592+00:00
"Garrard County, Kentucky",37.6413234,-84.564147,3,0,None,2020-04-17 01:40:29.788163+00:00
"Anson County, North Carolina",34.9054732,-80.1875065,16,0,0,2020-04-18 01:41:02.433592+00:00
"Putnam County, Ohio",41.0540759,-84.1857115,14,0,0,2020-04-18 01:41:02.433592+00:00
"Philadelphia County, Pennsylvania",40.0152766,-75.1311874,9014,342,0,2020-04-18 01:41:02.433592+00:00
Wijchen,51.8136739,5.7528948,38,None,None,2020-04-19 01:41:41.470995+00:00
P.A. Trento,46.06893511,11.12123097,3431,348,1098,2020-04-19 01:41:41.928049+00:00
Umbria,43.10675841,12.38824698,1344,57,856,2020-04-19 01:41:41.939450+00:00
Côte-d'Or,47.5126795,4.635412,1018,159,468,2020-04-19 01:41:44.226788+00:00
Brasília,-15.826691,-47.9218204,814,24,None,2020-04-19 01:22:16.677117+00:00
Capão do Leão,-31.7602022,-52.4384072,1,0,None,2020-04-19 01:22:17.671286+00:00
Chã Grande,-8.2392128,-35.4613872,3,0,None,2020-04-19 01:22:18.284905+00:00
Cuiabá,-15.60086,-56.0968227,88,1,None,2020-04-19 01:22:18.710484+00:00
"Lincoln County, North Carolina",35.4637028,-81.2078164,20,0,None,2020-04-19 01:40:27.495960+00:00
Münster,51.9606649,7.6261347,607,8,None,2020-04-18 00:00:00+00:00
Nordfriesland,54.6760219,8.9336322,69,1,None,2020-04-18 00:00:00+00:00
Bitburg-Prüm,50.0905713,6.3802843,151,3,None,2020-04-18 00:00:00+00:00
Altmarkkreis Salzwedel,52.7747049,11.202885,30,0,None,2020-04-18 00:00:00+00:00
Kiel,54.3232927,10.1227651,221,7,None,2020-04-18 00:00:00+00:00
Rottal-Inn,48.3909949,12.9451449,674,36,None,2020-04-18 00:00:00+00:00
Yonne,47.8652728,3.6079823,240,37,113,2020-04-19 01:41:44.248846+00:00
Heidelberg,49.3987524,8.6724335,297,6,None,2020-04-18 00:00:00+00:00
Ituporanga,-27.4156778,-49.603384,0,0,None,2020-04-19 01:22:22.731816+00:00
Heerlen,50.8881742,5.9794988,99,None,None,2020-04-19 01:41:39.180019+00:00
Narmada,22.4965494,77.0494728,11,0,0,2020-04-19 01:22:57.966888+00:00
Zwijndrecht,51.8105978,4.6272719,14,None,None,2020-04-19 01:41:41.689636+00:00
"Winnebago County, Wisconsin",44.0126679,-88.7108964,38,1,0,2020-04-18 01:41:02.433592+00:00
Doubs,46.9276,6.349001,618,93,333,2020-04-19 01:41:44.229675+00:00
Berlin Reinickendorf,52.5790422,13.2805353,414,18,None,2020-04-18 00:00:00+00:00
Neunkirchen,49.3518048,7.186363,214,4,None,2020-04-18 00:00:00+00:00
Halle,51.4969802,11.9688029,275,9,None,2020-04-18 00:00:00+00:00
Sankt Wendel,49.4677707,7.1690625,133,4,None,2020-04-18 00:00:00+00:00
Cher,46.954005,2.4671908,167,41,48,2020-04-19 01:41:44.234303+00:00
"Hot Springs County, Wyoming",43.658734,-108.326784,2,0,None,2020-04-17 01:40:29.788163+00:00
Main-Taunus-Kreis,50.1171096,8.4207448,214,4,None,2020-04-18 00:00:00+00:00
"Claiborne County, Tennessee",36.4830423,-83.634843,5,0,None,2020-04-19 01:40:27.495960+00:00
Águas de Lindóia,-22.4803601,-46.633882,1,1,None,2020-04-19 01:22:30.750502+00:00
"Ramsey County, North Dakota",48.3076017,-98.7287191,3,0,None,2020-04-19 01:40:27.495960+00:00
"Alfalfa County, Oklahoma",36.7435919,-98.3964938,1,0,None,2020-04-19 01:40:27.495960+00:00
Lichtenfels,50.1432937,11.0630388,171,1,None,2020-04-18 00:00:00+00:00
Mannheim,49.4874592,8.4660395,417,6,None,2020-04-18 00:00:00+00:00
Zhangye,38.925875,100.449818,2,0,2,2020-04-19 01:22:33.698233+00:00
Ouriçangas,-12.0141706,-38.6280749,0,0,None,2020-04-19 01:22:25.113739+00:00
"Adams County, Nebraska",40.5596231,-98.5721016,85,0,None,2020-04-17 01:40:29.788163+00:00
Sertaneja,-23.0379393,-50.8170891,1,0,None,2020-04-19 01:22:28.130533+00:00
Cerro Corá,-6.0346258,-36.3464796,1,1,None,2020-04-19 01:22:18.173186+00:00
Herzogtum Lauenburg,53.6197281,10.6803271,235,6,None,2020-04-18 00:00:00+00:00
Zwickau,50.7102169,12.4733725,697,22,None,2020-04-18 00:00:00+00:00
Pinneberg,53.6545225,9.7938212,492,15,None,2020-04-18 00:00:00+00:00
Regensburg,49.0134297,12.1016236,739,6,None,2020-04-18 00:00:00+00:00
Qingdao,36.067108,120.382609,65,1,60,2020-04-19 01:22:33.698233+00:00
Böblingen,48.6813312,9.0088299,1229,33,None,2020-04-18 00:00:00+00:00
São João Nepomuceno,-21.5367935,-43.0129853,1,0,None,2020-04-19 01:22:28.845677+00:00
Zhoushan,29.985295,122.207215,10,0,10,2020-04-19 01:22:33.698233+00:00
"Franklin County, Mississippi",31.4883928,-90.8675134,15,0,0,2020-04-18 01:41:02.433592+00:00
Qujing,25.489999,103.796167,13,0,13,2020-04-19 01:22:33.698233+00:00
"Hamilton County, Texas",31.6368668,-98.2212979,5,0,None,2020-04-19 01:40:27.495960+00:00
"Forrest County, Mississippi",31.2148677,-89.2847251,137,2,None,2020-04-19 01:40:27.495960+00:00
State of Mexico,19.4968732,-99.7232673,754,49,102,2020-04-19 01:41:33.716357+00:00
